Entity,Code,Year,Solar,Wind,Hydropower,Oil,Gas,Coal
Canada,CAN,1985,0,0.001,303.645,6.777,6.808,79.445
Canada,CAN,1986,0,0.001,310.635,6.166,6.886,71.627
Canada,CAN,1987,0,0.001,316.206,10.061,6.159,84.238
Canada,CAN,1988,0,0.001,307.435,11.842,9.432,91.758
Canada,CAN,1989,0,0.001,290.44974,18.174,14.835,91.737
Canada,CAN,1990,0,0.00191919,295.68332,16.468,9.654,82.22
Canada,CAN,1991,0,0.00191919,307.276,14.135,8.622,88.485
Canada,CAN,1992,0.00205263,0.059,315.17465,15.594,13.122,90.03
Canada,CAN,1993,0.00205263,0.059,322.2139,12.008,15.299,82.384
Canada,CAN,1994,0.00205263,0.059,327.8556,10.068,15.437,86.651
Canada,CAN,1995,0.00384211,0.059,334.05972,6.303441,19.975483,91.60398
Canada,CAN,1996,0.00589474,0.062,354.59207,7.4223657,18.621506,89.62108
Canada,CAN,1997,0.00694737,0.062,348.67963,12.024732,22.826344,96.92591
Canada,CAN,1998,0.01010526,0.062,330.86993,16.858065,26.423763,105.99365
Canada,CAN,1999,0.01326316,0.162,345.0008,14.81957,27.874624,106.186455
Canada,CAN,2000,0.02,0.26,356.76,13.51,35.83,116.23
Canada,CAN,2001,0.02,0.33,331.52,16.08,42.29,111.69
Canada,CAN,2002,0.02,0.41,349.27,15.51,38.83,110.7
Canada,CAN,2003,0.02,0.69,336.14,19.34,38.73,109.56
Canada,CAN,2004,0.01,0.94,338.4,19.25,40.44,99.9
Canada,CAN,2005,0.02,1.57,361.96,16.65,36.88,102.86
Canada,CAN,2006,0.02,2.47,352.89,10.49,40.42,95.92
Canada,CAN,2007,0.03,3.01,367.62,12.23,43.01,106.47
Canada,CAN,2008,0.04,3.79,377.49,10.03,39.63,100.8
Canada,CAN,2009,0.11,6.64,368.69,10.04,45.27,84.72
Canada,CAN,2010,0.26,8.72,351.39,7.1,52.78,86.45
Canada,CAN,2011,0.57,10.19,375.72,6.21,62.53,79.9
Canada,CAN,2012,0.88,11.31,380.27,6.38,63.24,69.35
Canada,CAN,2013,1.5,11.15,391.79,6.66,60.29,70.54
Canada,CAN,2014,2.12,12.82,382.5,4.76,65.05,69.38
Canada,CAN,2015,2.89,26.97,382.19,5,67.98,64.96
Canada,CAN,2016,3.01,30.93,385.43,4.84,65.82,65.02
Canada,CAN,2017,3.31,31.51,394.59,3.92,61.46,62.81
Canada,CAN,2018,3.49,33.47,385.89,4.02,70.74,53.02
Canada,CAN,2019,3.75,32.88,381.77,3.42,72.94,50.14
Canada,CAN,2020,4.07,35.76,386.55,6.96,75.59,39.04
Canada,CAN,2021,5.11,37.3,382.43,6.6,83.6,34.83
Canada,CAN,2022,5.74,39.48,397.73,8.05,90.44,26.49
Canada,CAN,2023,8.4,40.51,360.74,6.89,102.88,23.74
Canada,CAN,2024,9.42,46.83,343.2,7.3,109.6,25.14
China,CHN,1985,0,0,92.38756,56.685,0.972,260.64545
China,CHN,1986,0,0,94.548645,53.678,1.693,299.61035
China,CHN,1987,0,0,100.02428,54.644,2.737,339.86172
China,CHN,1988,0,0,109.16802,60.336,2.053,373.65298
China,CHN,1989,0,0,118.40898,57.632,3.709,405.06003
China,CHN,1990,0.002,0.0020202,126.74397,50.366,2.771,441.251
China,CHN,1991,0.002,0.00909091,124.68895,51.923,2.429,498.43396
China,CHN,1992,0.003,0.13131313,130.68608,53.21,2.467,567.3296
